username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Bry b 🇺🇸🇺🇸🚀,1586937609640873984,"Seattle, WA",2023-01-20 17:54:07,"@EWRTiny @itsJeffTiedrich By the way, everyone who attacked Kyle was either a pedo, a felon or both. Hmmmm guess ma… https://t.co/WElNX6XJh1",0,Twitter for iPhone,
KGNW Seattle,54656912,Seattle,2023-01-20 16:54:38,"Don't miss Relationship Insights with Carrie Abbott. Today on the show: BLM Movement Propaganda in First Grade?
For… https://t.co/zyHFCjzYH5",0,SOCi ,
Ari Hoffman,356592761,"Seattle, Washington",2023-01-20 15:30:31,"Anti-cop ice cream shop closing another Seattle location

The owners have advocated for far-left policies that have… https://t.co/1ZohOy3vOM",2,Twitter Web App,
Chase💥,1254455547828592641,"Seattle, WA",2023-01-20 14:44:56,@Bigggiejohnson @Kyleb557 @FoxNews No the FUCK they don’t. I live in Seattle that BLM shit don’t matter too White L… https://t.co/SJypYwAHax,0,Twitter for iPhone,
Beckie Thibeault,36244710,"Seattle, WA",2023-01-20 14:36:04,@The_Trump_Train As well as BLM &amp; the current Democratic Party! 💔🇺🇸💔,0,Twitter for iPhone,
stevemur,14299276,Seattle,2023-01-20 06:43:27,"@mualphaxi Does “BLM”, the brand, mean the same thing in 2023 that it did in 2020? Does MeToo? Does “Stay Home Stay… https://t.co/BXjGtTDEYv",0,Twitter for iPhone,
Pooma,481588815,"Seattle, WA",2023-01-20 05:51:28,BLM stands for Buy Luxurious Mansions,0,Twitter for iPhone,
mahmoud abdul-rauf,1317138151203168258,"Seattle, WA",2023-01-20 03:57:18,if you’re black with blm in your bio that’s funny,0,Twitter for iPhone,
Ari Hoffman,356592761,"Seattle, Washington",2023-01-20 02:00:31,"Anti-cop ice cream shop closing another Seattle location

The owners have advocated for far-left policies that have… https://t.co/J0YuVGYnjV",8,Twitter Web App,
Eve_Alyson,1598486351804239874,"Seattle, WA",2023-01-20 01:02:25,@ShawnMoon1989 @LinKrenicki @RedBeardPower @painkiller21 @itsJeffTiedrich He WENT to a #BLM protest with a gun to u… https://t.co/XnZUhUqt7g,0,Twitter for iPhone,
KOMO News,16086928,"Seattle, WA",2023-01-19 22:58:30,The Bureau of Land Management caught a bobcat and a cougar on camera in Alsea. Alsea is located in the coast range… https://t.co/AQkwWlSWEB,2,TweetDeck,
Yes Segura,765680033788669952,"Seattle, WA",2023-01-19 22:26:00,A crosswalk with no ADA curb ramps. #BLM #BlackLivesMatter https://t.co/sSifi2qJ3T,0,Twitter for iPhone,
Hyster Prynne🇺🇸,1580292120426188800,Seattle ,2023-01-19 21:57:42,"Just caught #KevinMcGary of @Every_BLM talking about abortion, racism and his book Woked Up on @RealAmVoice. I enco… https://t.co/l9RfalYgXa",17,Twitter Web App,
Urban_Tribesman #MMT Support the Nurses 💙 💙 💙,2893772003,Where Mountains meet the Sea,2023-01-19 21:57:12,"@_HenryBolton @robstead “Public buildings are for everyone” but not people who support #BLM (&amp;, by default I suspec… https://t.co/b44U8Xbjg9",0,Twitter for iPad,
Jeraun Hairston jr.,981041646472126464,"Seattle, WA",2023-01-19 21:36:19,"@thibeaux_aaron @AngeliqueAngel1 @ashtonphoenyx @NewVegas420 @DailyLoud Exactly, you think the blm movement is a sc… https://t.co/uedbrPqBY1",0,Twitter for iPhone,
Vote Democrat: Move us to the End FASTER!!,1600860579073515522,Seattle,2023-01-19 21:09:18,This is actually really cool.  If your family did any homesteading back in the 1800's you can search their names an… https://t.co/9iinnjH7Fz,0,Twitter Web App,
Adam Salazar,114661739,"Seattle, WA",2023-01-19 21:07:28,"@roderickgraham I agree, though it would also be nice if the socialists were aware of or disclosing of their organi… https://t.co/owreYoSKAq",0,Twitter for iPhone,
Lee Baxter ♀️☮,737535261324640262,"Redmond, WA",2023-01-19 20:42:14,"@msflash050 It is just adding ""white supremacy"" to the list of other hate crimes. It's overdue.
Neither Antifa or B… https://t.co/buG2MvtfNA",0,Twitter Web App,
🎱•VooDÒŐ♠️(a pathetic/miserable ass Raider Fan),1306201946865319936,"Tukwila, WA",2023-01-19 20:36:09,"BLM yes, pride flags eh I really dont care but I think all the flags that belong in the schools and court houses et… https://t.co/f08NDlTdZZ",0,Twitter for Android,
Beckie Thibeault,36244710,"Seattle, WA",2023-01-19 19:53:20,"@MayorofSeattle @cmkshama Lol, so you are still just as “woke” as you were when YOU &amp; your Seattle Swamp allowed BL… https://t.co/qqNS8cI5JA",0,Twitter for iPhone,
Porge,2329878259,Seattle WA,2023-01-19 19:20:52,Trans people should be offended by all the fake “moral” high ground activists trying to get brownie points and like… https://t.co/mLYwgjPgx3,0,Twitter for iPhone,
Norse The Bane 😈🎶,1179221240210288640,"Seattle, WA",2023-01-19 19:04:21,@steven_schnegg @Craigko26 @mmpadellan Hmmm I mean the way you talkin on the other boxes makes it seem implicit whi… https://t.co/9wTmBkNlmZ,0,Twitter for Android,
ana karen 🦋,3306468391,"Seattle, WA",2023-01-19 18:57:25,Y’all ….. Daniel Caesar went live and said he doesn’t stand with BLM. can’t believe I have to delete his music off my phone smh,0,Twitter for iPhone,
GollumGarland,1223025136183345152,"Seattle, WA",2023-01-19 18:50:38,@DOOY4AMERICA @thehill @ByronDonalds You have any real Black friends?  All the progressive White Privilege #BLM fol… https://t.co/jqKY3ENFwr,0,Twitter Web App,
Jeraun Hairston jr.,981041646472126464,"Seattle, WA",2023-01-19 18:49:56,@thibeaux_aaron @AngeliqueAngel1 @ashtonphoenyx @NewVegas420 @DailyLoud What’s your thoughts on the blm movement,0,Twitter for iPhone,
seattle newswire,1517978818132135936,"Seattle, Washington",2023-01-19 18:35:00,"BLM camera shows wild cats crossing Mill Creek, officials created cat bridge ‘by accident’  - KOMO News https://t.co/afEsvBmoVt",0,seattlebrief,
CRBN Nitro,1247884995844141056,Seattle,2023-01-19 18:24:25,@garethouu @MMosubn @timclark6996 @Dexerto Bro rlly trynna pull out the BLM racism card rn huh,0,Twitter for Android,
Cxnnxbis Cxrpse 🏳️‍⚧️♿️ ∞ (he/they),716444474746937346,"Seattle, WA",2023-01-19 16:09:46,@LuciaEverblack Lol for real i dont just tweet activism i participated in a lot of different marches blm being the… https://t.co/4Z9nQ40ARb,0,Twitter for iPhone,
