username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Wes Porter,1465961079012569091,Bellevue WA,2023-01-19 14:48:20,@kdevil66 @dandydon66 @insightsonusa @prayerfeathers @VenetianVegas No it makes no sense at all. Billions of dollar… https://t.co/kFqyNyVZ7b,0,Twitter Web App,
joseph carreiro,539999852,"Seattle, WA",2023-01-19 04:50:10,"@A_seemr @JohnPaulTaylo18 @UltraDane ""BLM only protests against police brutality"" 
This statement is verifiably fal… https://t.co/YF5d4GHwT6",0,Twitter for Android,
Gentry Gevers,1065260059318337536,"Seattle, WA",2023-01-19 04:16:04,"BLM, pride and trans flags should be banned from all government buildings.",1,Twitter for iPhone,
Riccardo/Ricco,1199934897797754882,"Bothell, WA",2023-01-19 03:07:16,@UltraDane BLV not BLM…Blacks Love Violence…she needs 3-5 in state prison for assault with a DDW. End of story,0,Twitter for iPhone,
Auntie with The Good Tits (ง'̀-'́)ง,15240625,"Seattle, WA",2023-01-19 01:37:04,Jesus Christ was antiracist and would support BLM because he was against suppression &amp; injustice. If you don’t beli… https://t.co/Qp6Y1EAEfU,0,Twitter for iPhone,
Srtcat22,1587292752001531906,"Seattle, WA",2023-01-19 01:26:35,@ProudElephantUS At he very least he should get another trial. The pressure BLM and activists put on the court at t… https://t.co/8sDJKjvb8Y,0,Twitter for iPad,
Hyster Prynne🇺🇸,1580292120426188800,Seattle ,2023-01-19 00:56:05,@JackPosobiec Oh please. But if you're offended by BLM or anything else just shut up and do what we tell you. These people are sick.,0,Twitter Web App,
🥤S⭕️da Stan 👑,1421898044010684419,"Seattle, WA",2023-01-19 00:38:18,"If Derek Chauvin is released from his sentence, would that put him ahead of Trump and Desantis as favorite for the… https://t.co/8R1CJCRmND",0,Twitter for iPhone,
Beth Day,570629040,"Seattle, WA",2023-01-19 00:29:29,SPS is issuing a proclamation on holding BLM at Schools in February.,0,Twitter for iPhone,
Beth Day,570629040,"Seattle, WA",2023-01-19 00:26:59,Student board director speaking about BLM at school in February.,0,Twitter for iPhone,
Srtcat22,1587292752001531906,"Seattle, WA",2023-01-18 22:36:43,Twitter excoriates Adam Schiff for posting misleading video of arrest of BLM founder's cousin that led to his death… https://t.co/fNXAmB7kOg,0,Twitter for iPad,
Raul,14725377,"Seattle, WA",2023-01-18 22:34:47,@LadyOfTheOcean1 @Flattielover @medwoman1 @GG_MacM13 @gopisdirty @MistressRedWasp @FemmeVoilet @RacheIHoyle… https://t.co/fiGWrr1ina,0,TweetDeck Web App,
Jody (not Judy the singer) Collins,1175075693786386433,"Renton, WA",2023-01-18 22:18:55,"https://t.co/w8mhrxLGdu So the dir of BLM who stepped down, was single handedly in chg of a budget in the millions,… https://t.co/c0b8JSKlyQ",0,Twitter for Android,
Katie Daviscourt🇺🇸,319901933,"Seattle, WA",2023-01-18 21:41:00,"NEW: The Olympia School Board in WA state appointed Talauna Reed, an anti-police extremist and convicted felon, to… https://t.co/QIIfGWpRhB",79,Twitter for iPhone,
Don cline,728989930748186624,Seattle,2023-01-18 21:04:18,@CollinRugg BLM is nothing more then a terrioist organization .,0,Twitter Web App,
stochy storm,1601789452208443393,"Seattle, WA",2023-01-18 20:01:30,"@sammydukemusic @CalltoActivism BLM, Biden, and far-left democrats are stoking racial division and violence.",0,Twitter for iPhone,
stochy storm,1601789452208443393,"Seattle, WA",2023-01-18 19:58:57,"@CalltoActivism Biden, BLM, many far-left democrats are stoking racial division and violence.",0,Twitter for iPhone,
"Bear, Man Dangerous",1546265773772918784,"Seattle, WA",2023-01-18 19:43:05,@Patootie2022 @libsoftiktok Yeah. That doesn't work. BLM is not a centralized organization. Just because some peopl… https://t.co/mq0aM7xgJ8,0,Twitter Web App,
G-Snake,1598862467689771008,"Seattle, WA",2023-01-18 19:39:32,@glennkirschner2 So does that mean Dems on hook for 100s of Antifa and BLM riots? How does this game work??,0,Twitter for iPhone,
Steven Chappell,67146174,"Seattle, WA",2023-01-18 18:28:19,"@adam_nixdorf @AaronWardEsq @scrowder Plus, my point was literally that the fraud came after the assault 🤣

""Someon… https://t.co/URS7qXuFW5",0,Twitter for Android,
Michelle Hairston,2973526873,In a pineapple under the sea,2023-01-18 15:57:38,"@Nopallicus @JayRighty69 @healthbyjames False! It was white supremacists, who are indeed right-wingers, who infiltr… https://t.co/IeA05jskb4",0,Twitter for Android,
Michelle Hairston,2973526873,In a pineapple under the sea,2023-01-18 15:50:47,"@Ultraplissken Because it was white supremacists who infiltrated the BLM PROTESTS who did the riots, burning, &amp; kil… https://t.co/N0cTLiSdxf",1,Twitter for Android,
Michelle Hairston,2973526873,In a pineapple under the sea,2023-01-18 15:40:23,@johnrackham82 Because its a lie. Every police Dept throughout entire protests reports it wasn't BLM/Antifa. It was… https://t.co/DqHdFJwKgP,0,Twitter for Android,
CALICO DOE,1594056014558625793,THE SEA ,2023-01-18 13:50:01,@RepJeffries denounce the blm riots then,0,Twitter for Android,
Ellipsis Lacuna,1535403844867223552,Seattle,2023-01-18 07:39:27,@ditchmitchffs @ksorbs so many original thoughts ... all that's missing is a ukraine flag and a BLM https://t.co/Ljhc9e5Mz8,0,Twitter Web App,
Kareem,1588953591783587841,Sea to Shining Sea,2023-01-18 06:38:57,@venompilled @witchural @WimDerBlutige Why are u incels crying about buring the coal and paying th3 toll?😭😭 also th… https://t.co/FOuOqZsfhr,0,Twitter for Android,
2PartySystemSucks,1589781744001028096,"Mercer Island, WA",2023-01-18 06:17:18,@RepJeffries I’m sorry remember ANTIFA AND BLM? We the people do. So shove it far and deep you hypocrite…,1,Twitter for iPhone,
Sensei G. Lewis,51316887,"Seattle, WA.",2023-01-18 05:54:16,"@revclub_la @BLMLA BLM is now a fully reformist-opportunist org. However, the RCP is a social imperialist org in it… https://t.co/0wYD8Teyfv",0,Twitter for Android,
Hilary Lohman,779705880916860928,"Lynnwood, WA",2023-01-18 02:09:31,"@TheBadBeaner And, all lives matter, not just black, or brown, or whatever or green, or yellow. It's okay for the b… https://t.co/6yZetNWMQR",0,Twitter for Android,
Kareem,1588953591783587841,Sea to Shining Sea,2023-01-18 01:12:26,@IssueInternet @WimDerBlutige @witchural Im enjoying this. Blm burned down ur moms store then the ppl u voted for b… https://t.co/0TizQadPZl,0,Twitter for Android,
Kareem,1588953591783587841,Sea to Shining Sea,2023-01-18 01:09:19,@IssueInternet @witchural @WimDerBlutige The cope is crazy. So this is BLM protest in poland where they hate blacks… https://t.co/G5CVT0AwD5,0,Twitter for Android,
triz,4141584503,"Seattle, WA",2023-01-18 01:05:22,"@boobsweatntears @hasanthehun Its about kebabpiker getting banned from tiktok for a BLM post.... 
then you proceede… https://t.co/0ZFYNNx32F",0,Twitter Web App,
Kareem,1588953591783587841,Sea to Shining Sea,2023-01-18 01:01:05,@IssueInternet @witchural @WimDerBlutige World wide whiteness? Y is over half of londons population foriegn born? B… https://t.co/FIRSLQjtQD,0,Twitter for Android,
Kareem,1588953591783587841,Sea to Shining Sea,2023-01-18 00:47:31,@IssueInternet @witchural @WimDerBlutige 😭 Jan 6th ppl are getting more time for walkin in a public building then b… https://t.co/xvIIyuoNU5,0,Twitter for Android,
Kareem,1588953591783587841,Sea to Shining Sea,2023-01-18 00:43:34,@WimDerBlutige @witchural Joos are the one scaring you thats y you so stuck on the spelling and cant refute on poin… https://t.co/ET4gzYZSTN,0,Twitter for Android,
Kareem,1588953591783587841,Sea to Shining Sea,2023-01-18 00:41:37,@IssueInternet @witchural @WimDerBlutige Bro this is actually hilarious you believe this. You couldn't even bury yo… https://t.co/cRtUucT2MO,0,Twitter for Android,
Kareem,1588953591783587841,Sea to Shining Sea,2023-01-18 00:29:54,"@WimDerBlutige @witchural Yes it has, shown the strawman and red herrings you tried to use but failed miserably. Ur… https://t.co/LA2xgMQdG9",0,Twitter for Android,
Raymond R Price (Posadist-Sasquatchist),1730850955,"Seattle, Washington",2023-01-18 00:15:40,"@ImMeanSometimes It is the same movement. You claim otherwise because you don't want to deal with the fact that, we… https://t.co/gbieysESMZ",0,Twitter Web App,
Kareem,1588953591783587841,Sea to Shining Sea,2023-01-17 23:52:19,@WimDerBlutige @witchural Pitiful is how much money u send to their country to pay for their border walls while the… https://t.co/DHDYJT7PwK,0,Twitter for Android,
Kareem,1588953591783587841,Sea to Shining Sea,2023-01-17 23:46:11,@WimDerBlutige @witchural I hate liberals more then i hate mixed mutts who larp as anglo Americans you literally kn… https://t.co/19Xws5Ny63,0,Twitter for Android,
joseph,732269635,Everywhere/donde sea,2023-01-17 23:37:54,"@ClownWorld_ BLM… 🤣🤣🤣

Nothing also to say !!",0,Twitter for iPhone,
WA Ethnic Studies Now,1259894251460022272,"Seattle, WA",2023-01-17 22:20:22,"This year, WAESN is partnering with the Seattle Caucus of Rank-and-file Educators (SCORE) to remember, celebrate, a… https://t.co/k0dnVe5W3T",3,Twitter for Android,
Mark T,1458938859958333448,,2023-01-17 20:22:03,"@AzPetrich You have the worst form of TDS. Trump will not be indicted bc he did nothing wrong.

Democrats invited B… https://t.co/UAn3S4U75H",0,Twitter for iPhone,
Kareem,1588953591783587841,Sea to Shining Sea,2023-01-17 20:21:19,@Bratzyetz @SomaliConqueror @Alltimelowsx1 @septimusajprime Funny the same ppl you worship and take on their crayon… https://t.co/889xZG9w88,0,Twitter for Android,
Nikki West 🇺🇦,1016496751828766721,"Seattle, WA",2023-01-17 19:52:08,@TheStranger @willjcasey Jake Gravbot wasn't just a photographer- he was well known in the Black Lives Matter scene… https://t.co/QL45c0Ag37,0,Twitter Web App,
Raymond R Price (Posadist-Sasquatchist),1730850955,"Seattle, Washington",2023-01-17 19:01:23,"@ImMeanSometimes Dr King said, in his ""I Have a Dream"" speech, ""We can never be satisfied as long as the Negro is t… https://t.co/HPtH2nG5Wp",0,Twitter Web App,
Barnes & Noble copy of the Beatles “1” on vinyl,887926058,"Seattle, WA",2023-01-17 17:33:40,"Dear BLM/Leftists

Look up a thing called “GLADIO” and then tell me how much you like the CIA/US State Department",2,Twitter for iPhone,
❄️ winter's madwoman ❄️,954890695,"Seattle, WA",2023-01-17 16:06:16,in what world are BLM/leftists on the same side as the fucking FBI???? what world does this man live in? https://t.co/C6pvPcDPPv,0,Twitter for Android,
🇺🇸parkreturns🦅MAGA2024🗽America First✊🏼,1266039059773829123,Sea To Shining Sea,2023-01-17 14:40:44,"@45_IrishQueen Solzhenitsyn experienced it 1st hand. The idea connected w/ me when I considered the venomous ""squad… https://t.co/GnN6qHoAVe",0,Twitter Web App,
The Matador of Spit Cobras,1213010640526176256,Seattle,2023-01-17 08:47:59,"@choeshow @cmkshama @GovInslee @MayorofSeattle @kcexec Seattle area has 10 billionaires, including 4 multi (65, 85,… https://t.co/1QpfvexiTL",1,Twitter Web App,
Raymond R Price (Posadist-Sasquatchist),1730850955,"Seattle, Washington",2023-01-17 05:41:32,"@PineBoxDad @prageru Yes, that's what I said. Show me anyone else who was as vigorous in condemning police brutalit… https://t.co/OAEMLXzUZP",0,Twitter for Android,
Paige,256755958,"Fremont, Seattle",2023-01-17 05:28:04,It was a beautiful day for a demonstration of solidarity. The revolution continues! #MLKDay #ClimateJustice… https://t.co/VCg1QECw17,0,Twitter for iPhone,
Paige,256755958,"Fremont, Seattle",2023-01-17 05:25:31,"Happy #MLKDay #BLM #FreedomRiders #civilrights
#PoorPeoplesCampaign #m4bl #seattle https://t.co/NLJV69P0gV",0,Twitter for iPhone,
triz,4141584503,"Seattle, WA",2023-01-17 04:00:09,@hasanscinema @hasanthehun Funny if you’re a teenager with Family Guy level humor. BLM was a hateful organization s… https://t.co/dYIwCJBKzS,0,Twitter for iPhone,
Robert Brydon,908966488362573824,"Seattle, WA",2023-01-17 03:39:51,"@daveweigel Yes, BLM famously celebrates the great relationship between black Americans and law enforcement, so thi… https://t.co/EEckDhJFsP",0,Twitter Web App,
"Shane A. McGarry, Ph.D.",516953183,"Seattle, WA",2023-01-17 01:58:01,This demonstrates how utterly vapid the right is. They are mad that schools are teaching kids that LGBTQ+ and Black… https://t.co/Ro09qzbSm9,0,Twitter for iPhone,
Nick Bell,3007585489,"Seattle, WA",2023-01-17 00:55:53,@fuelthearmy @ACTBrigitte Explain how this would be considered “condemning BLM?” https://t.co/RSBcX6Qvly,0,Twitter for iPhone,
Jonathan Rogers,880819122925326336,"Seattle, WA",2023-01-17 00:42:53,Have a plan for pro racial justice program!!! Have a plan to have tough conversations in good times! have a plan to… https://t.co/uT8b0ZfZcR,0,Twitter for iPhone,
RosannaDanna,237499671,"Sammamish, WA",2023-01-17 00:31:30,"Biden will veto this, it will also get shut down in the Senate.  Do you think all of the boomers in wheelchairs and… https://t.co/AyJFjHSh2w",0,Twitter Web App,
fraudbappes burner,1280396842002350083,"Redmond, WA",2023-01-16 23:02:16,Martin Luther what a guy #blm #him #nationalholiday,0,Twitter for iPhone,
Mary Jane💚,1498144409749110786,"Lynnwood, WA",2023-01-16 20:41:50,"@jlavett0831 When the anarchists co-opted WTO protests they should have been arrested. Every protest after that, fo… https://t.co/E42IFC2UUd",0,Twitter Web App,
Kimberly K I n c h e n,230310109,Seattle,2023-01-16 20:20:57,"2/2 ‘she said she raised the issue of racism, which angered Erickson, who yelled at her: “I’m not racist. I hired y… https://t.co/4RuGs6DEZ2",0,Twitter Web App,
Reba Haas,18458302,Seattle WA,2023-01-16 20:00:01,"KEEP MOVING. 

Honoring the iconic Martin Luther King Jr. today. 

Taken too soon but never forgotten.

#TeamReba… https://t.co/tVJRHTjVhh",1,Hootsuite Inc.,
Joe Insanity,968905120246353920,"Seattle, WA",2023-01-16 18:47:27,@YxNG_DxMB_GxTH @libsoftiktok The USA flag belongs in a classroom. The cross does not. The blm flag does not. The LGBT flag does not.,0,Twitter Web App,
Compass Housing Alliance,322245222,"Seattle, WA",2023-01-16 17:24:04,"Listen to the full speech ""I've been to the mountaintop"" by Martin Luther King Jr. This speech was in support of st… https://t.co/V0g4tOwgYQ",0,Twitter Web App,
kmanndahouse03,284807938,"Newcastle, WA",2023-01-16 15:41:01,"@JohnBrown_Stan @sentinelx92 @CSX @lennycurry @GovRonDeSantis So, I guess you support what BLM has done to its own… https://t.co/rrf3VlhVef",1,Twitter Web App,
Josh Arsenic,815456306957991936,"Seattle, WA ",2023-01-16 06:38:59,"@PhilPhi06885124 @SteveGregorio75 @AdamKinzinger ""Was"" is the appropriate term. Once a protest starts turning into… https://t.co/yt8THZyO0O",0,Twitter for Android,
LBOOGEY,1306085583899426816,"Bellevue, WA",2023-01-16 05:38:59,@phat3lvis @Synchro2021 Let’s be honest for a minute. The most heinous and murder acts in American History has been… https://t.co/5vmkbC3Tcr,0,Twitter for iPhone,
Nathan,1526727857719742465,"Seattle, WA",2023-01-16 05:37:15,@mysteriouskat @stillgray He's just a whipping boy for the nutcase conspiracy theorists. They claim he funded Antif… https://t.co/vrUnRWkr9q,0,Twitter Web App,
Mike_Fish,1519763118305337345,"Seattle, WA",2023-01-15 22:24:20,@POTUS Faith?  You allowed governors to shut down churches during the pandemic which did not allow them to worship.… https://t.co/nNyx80FzdV,1,Twitter for iPhone,
GrandOLTeam,937676766,"Seattle, WA USA",2023-01-15 21:53:47,"@Dauntus @WAStateHomicide Since BLM riots.

Seattle-fewer police, more murders
Portland-fewer police, more murders… https://t.co/pNK7N3G10L",0,Twitter Web App,
The Food-Minded Mama,60953649,"Seattle, WA",2023-01-15 21:35:18,"@k_whisted @FoxNews Of course, you do. And I bet the over 900 convicted idiots that stormed the Capitol are all BLM… https://t.co/xrGBX9aCUR",0,Twitter Web App,
CocoMac7,1521553707187544066,"Seattle, WA",2023-01-15 20:38:34,"Let's remember WHY  #BLM was started. In 2013, when the murderer George Zimmerman was on trial, when asked if he th… https://t.co/BbMAMNx4ph",0,Twitter for Android,
Blurrygil -He/Him- #BLM #BlackLivesMatter,47417127,"Seattle, WA",2023-01-15 20:16:02,"Still angry and saddened by this shit.

#BLM #BlackLivesMatter    #DefundThePolice https://t.co/ICnEB0SGVK",0,Twitter for Android,
_justin,1592968247380303872,seattle,2023-01-15 18:39:52,@blueshirtday1 @LillieLehman3 @ThisIsKyleR You mean like when your BLM brigade burned cities for their riots? Frank… https://t.co/zj510xFGoz,0,Twitter Web App,
Bebe,1605284692160180224,"Seattle, WA",2023-01-15 18:17:28,@gambler1647 @TheRichFromCali She had a right to peacefully protest. She did not have a right to destroy property (… https://t.co/aMf0mKODtq,0,Twitter for Android,
Maui,1540149137374556161,"Seattle, WA",2023-01-15 17:16:01,HAPPY HAPPY MLK BIRTHDAY @BLM ALWAYS MATTER AND ALL HUMAN BEING ARE THE SAME,0,Twitter for iPhone,
Gregory Knight,34127769,By the sea,2023-01-15 16:49:56,@DiamondandSilk Who are the evil radicals you speak of? This sounds like gaslighting BLM to justify the fundraising… https://t.co/f0F9GV0dL6,0,Twitter for iPhone,
oil rat 🔉🐀,45201670,"Seattle, WA",2023-01-15 13:09:31,@solid_kulak @DrZeussCN @4chan_green @TerribleFinance @DudespostingWs lmao nobody brought up anything to do with BLM homie. Head rent free 🤡,0,Twitter Web App,
🎵 ⓝⓞⓝⓘ🎶🌬❄️,32751300,"Seattle, WA",2023-01-15 11:30:18,"I was using Duty Support in The Stone Vigil, about 3/4 done with the final boss, and the healer DIES??? Then it was… https://t.co/FCIUqEgRM1",0,Twitter Web App,
david ralston,17766673,"Bellevue, WA",2023-01-15 08:18:17,"@LangmanVince Not BLM, it's a BM sculpture.",0,Twitter Web App,
GrandOLTeam,937676766,"Seattle, WA USA",2023-01-15 07:40:34,"@BreeNewsome Since BLM riots.

Seattle - fewer police, more murders
Portland - fewer police, more murders
Minneapol… https://t.co/MTq3pBq8vX",1,Twitter Web App,
Ken Droz,41342100,"Seattle, WA",2023-01-15 04:44:55,"@CornpopKnew @JoJoFromJerz I do not believe you have ever been threatened by Antifa. I live in Seattle, I went to B… https://t.co/TrU4vSszGE",0,Twitter for iPhone,
oil rat 🔉🐀,45201670,"Seattle, WA",2023-01-15 04:27:54,@bobskunk That's one thing BLM made me realize,0,Twitter Web App,
oil rat 🔉🐀,45201670,"Seattle, WA",2023-01-15 04:13:20,@bobskunk More people should look at the articles Seattle Times were belting out during BLM but I'm sure everyone w… https://t.co/Cr8JGuhNmB,0,Twitter Web App,
G-Snake,1598862467689771008,"Seattle, WA",2023-01-15 03:22:09,@StevenBeschloss If any politician is held responsible for their voters actions then let’s apply equally right? Sca… https://t.co/1DR9aZKlnf,0,Twitter for iPhone,
RosannaDanna,237499671,"Sammamish, WA",2023-01-15 01:33:21,I am shocked there isn't more groups like this.  Would you all protect me if a Kyle Rittenhouse wanted to shoot me?… https://t.co/EopNyMGtDY,0,Twitter Web App,
John Brubaker,1575603403585388544,"Seattle, WA USA",2023-01-14 20:25:09,@SkyborneVisions @SilenceDoTell @Ty22Best @RepMTG Hey look everyone! He gets it! Yet he decries the BLM protests. Hmm. Wonder why?,0,Twitter Web App,
Squidward Tentacles,1545816740046700546,The Sea ,2023-01-14 19:47:38,@SeanJBrander @Crimson_Mayhem_ Wait what? When did he say anything against blm and everything after that?,0,Twitter Web App,
pat frost,1302371982097350656,Seattle,2023-01-14 17:00:14,"@seattletimes Funny, didn't the Seattle Times just publish that crime is up in Seattle solely due to Covid?

No men… https://t.co/0Vkq6voued",0,Twitter Web App,
TRISHA,1603186280736911360,"Seattle, WA",2023-01-14 13:48:15,@Macca_0161 @CPhenom69 @mainerlarry1 Actually BLM consists of three women who raised million$ and used that money f… https://t.co/Vr2PiC8eNz,0,Twitter for iPhone,
TRISHA,1603186280736911360,"Seattle, WA",2023-01-14 13:47:29,@SearchNormal @CPhenom69 Actually BLM consists of three women who raised million$ and used that money for personal… https://t.co/bdPDnygopo,0,Twitter for iPhone,
TRISHA,1603186280736911360,"Seattle, WA",2023-01-14 13:46:37,@corgratech @CPhenom69 @PatriotMarie70 Actually BLM consists of three women who raised million$ and used that money… https://t.co/eXo28TI6pI,0,Twitter for iPhone,
Steph,1027017475848790016,"Seattle, WA",2023-01-14 04:59:13,"@RonFilipkowski Interesting. Seattle is one of those ""burned down"" cities, and yet not a single sign of the smoking… https://t.co/iPG6FuRF5l",0,Twitter Web App,
Srtcat22,1587292752001531906,"Seattle, WA",2023-01-14 04:35:57,"@merissahansen17 When we were locked down, but ANTIFA, BLM, and Liberals could riot and burn down the cities with no consequences",0,Twitter for iPad,
Dave Swart,2650097172,"Des Moines, WA",2023-01-14 03:24:13,"@ZaleskiLuke Doubt that it was BLM...Ali Alexander kinda stood out like a sore thumb.
Wasn't ANTIFA, who hasn't bee… https://t.co/ixVKKxXxON",0,Twitter for Android,
deplorablecarpenter,814885695864963073,"Seattle, WA",2023-01-14 00:35:44,"@CathyGB66 @izabella1955 The Stars and Stripes represents us all. The pride, and blm don’t, so no.",1,Twitter for iPhone,
Aaron G Dental Front Desk D👇F👇D👇,14260479,"Seattle, WA, USA",2023-01-13 22:13:27,@RepMTG So your saying on one hand it was all a pelosi coverup yet ABabbs ♥️MAGA and she was there so  Is she actua… https://t.co/C0jRiRcoXa,0,Twitter for Android,
MARCUS Lamon TAYLOR,1271711762497204224,"Seattle, WA",2023-01-13 20:24:31,@JamesBradleyCA Lets not even mention that if it was Antifa or BLM protesters at the capitol that day or just say p… https://t.co/Dy1v2uosFC,0,Twitter Web App,
Steven Halliwell,573335341,"Seattle, WA",2023-01-13 19:21:49,"@RosebudKane25 When post 2016 twitter politics does not let you date your preference 👱‍♀️, she is next option while… https://t.co/ezhbbIk7OJ",0,Twitter Web App,
